borough,major_category,num_crime,year,month
Barking and Dagenham,Violence Against the Person,411,2010,1
Barking and Dagenham,Burglary,206,2010,2
Barking and Dagenham,Criminal Damage,186,2010,2
Barking and Dagenham,Drugs,71,2010,2
Barking and Dagenham,Fraud or Forgery,0,2010,2
Barking and Dagenham,Other Notifiable Offences,30,2010,2
Barking and Dagenham,Robbery,72,2010,2
Barking and Dagenham,Sexual Offences,0,2010,2
Barking and Dagenham,Theft and Handling,418,2010,2
Barking and Dagenham,Violence Against the Person,371,2010,2
Barking and Dagenham,Burglary,161,2010,3
Barking and Dagenham,Criminal Damage,222,2010,3
Barking and Dagenham,Drugs,173,2010,3
Barking and Dagenham,Fraud or Forgery,0,2010,3
Barking and Dagenham,Other Notifiable Offences,26,2010,3
Barking and Dagenham,Robbery,74,2010,3
Barking and Dagenham,Sexual Offences,0,2010,3
Barking and Dagenham,Theft and Handling,526,2010,3
Barking and Dagenham,Violence Against the Person,374,2010,3
Barking and Dagenham,Burglary,161,2010,4
Barking and Dagenham,Criminal Damage,215,2010,4
Barking and Dagenham,Drugs,77,2010,4
Barking and Dagenham,Fraud or Forgery,0,2010,4
Barking and Dagenham,Other Notifiable Offences,33,2010,4
Barking and Dagenham,Robbery,57,2010,4
Barking and Dagenham,Sexual Offences,0,2010,4
Barking and Dagenham,Theft and Handling,500,2010,4
Barking and Dagenham,Violence Against the Person,409,2010,4
Barking and Dagenham,Burglary,155,2010,5
Barking and Dagenham,Criminal Damage,200,2010,5
Barking and Dagenham,Drugs,69,2010,5
Barking and Dagenham,Fraud or Forgery,0,2010,5
Barking and Dagenham,Other Notifiable Offences,20,2010,5
Barking and Dagenham,Robbery,85,2010,5
Barking and Dagenham,Sexual Offences,0,2010,5
Barking and Dagenham,Theft and Handling,503,2010,5
Barking and Dagenham,Violence Against the Person,441,2010,5
Barking and Dagenham,Burglary,177,2010,6
Barking and Dagenham,Criminal Damage,231,2010,6
Barking and Dagenham,Drugs,80,2010,6
Barking and Dagenham,Fraud or Forgery,0,2010,6
Barking and Dagenham,Other Notifiable Offences,18,2010,6
Barking and Dagenham,Robbery,70,2010,6
Barking and Dagenham,Sexual Offences,0,2010,6
Barking and Dagenham,Theft and Handling,505,2010,6
Barking and Dagenham,Violence Against the Person,435,2010,6
Barking and Dagenham,Burglary,178,2010,7
Barking and Dagenham,Criminal Damage,229,2010,7
Barking and Dagenham,Drugs,78,2010,7
Barking and Dagenham,Fraud or Forgery,0,2010,7
Barking and Dagenham,Other Notifiable Offences,21,2010,7
Barking and Dagenham,Robbery,73,2010,7
Barking and Dagenham,Sexual Offences,0,2010,7
Barking and Dagenham,Theft and Handling,553,2010,7
Barking and Dagenham,Violence Against the Person,413,2010,7
Barking and Dagenham,Burglary,195,2010,8
Barking and Dagenham,Criminal Damage,208,2010,8
Barking and Dagenham,Drugs,101,2010,8
Barking and Dagenham,Fraud or Forgery,0,2010,8
Barking and Dagenham,Other Notifiable Offences,23,2010,8
Barking and Dagenham,Robbery,65,2010,8
Barking and Dagenham,Sexual Offences,0,2010,8
Barking and Dagenham,Theft and Handling,489,2010,8
Barking and Dagenham,Violence Against the Person,391,2010,8
Barking and Dagenham,Burglary,180,2010,9
Barking and Dagenham,Criminal Damage,169,2010,9
Barking and Dagenham,Drugs,88,2010,9
Barking and Dagenham,Fraud or Forgery,0,2010,9
Barking and Dagenham,Other Notifiable Offences,19,2010,9
Barking and Dagenham,Robbery,60,2010,9
Barking and Dagenham,Sexual Offences,0,2010,9
Barking and Dagenham,Theft and Handling,523,2010,9
Barking and Dagenham,Violence Against the Person,356,2010,9
Barking and Dagenham,Burglary,167,2010,10
Barking and Dagenham,Criminal Damage,203,2010,10
Barking and Dagenham,Drugs,108,2010,10
Barking and Dagenham,Fraud or Forgery,0,2010,10
Barking and Dagenham,Other Notifiable Offences,29,2010,10
Barking and Dagenham,Robbery,70,2010,10
Barking and Dagenham,Sexual Offences,0,2010,10
Barking and Dagenham,Theft and Handling,526,2010,10
Barking and Dagenham,Violence Against the Person,329,2010,10
Barking and Dagenham,Burglary,200,2010,11
Barking and Dagenham,Criminal Damage,188,2010,11
Barking and Dagenham,Drugs,107,2010,11
Barking and Dagenham,Fraud or Forgery,0,2010,11
Barking and Dagenham,Other Notifiable Offences,31,2010,11
Barking and Dagenham,Robbery,70,2010,11
Barking and Dagenham,Sexual Offences,0,2010,11
Barking and Dagenham,Theft and Handling,508,2010,11
